Lineups,GP,MIN,OffRtg,DefRtg,NetRtg,AST_PCT,REB_PCT,eFG_PCT,TS_PCT,PACE,PIE,Lineup_Type,Performance_Tier
K. Looney | B. Hield | M. Moody | G. Santos | B. Podziemski,1,2,50,40,10,0,71.4,16.7,16.7,99.31,100,,
K. Looney | J. Kuminga | P. Spencer | M. Moody | G. Santos,1,2,66.7,100,-33.3,0,25,25,25,81.29,-12.5,,
K. Looney | K. Knox II | P. Spencer | G. Santos | T. Jackson|Davis,1,2,175,125,50,100,50,116.7,90.2,114.06,78.3,,
S. Curry | B. Hield | G. Payton II | M. Moody | Q. Post,1,2,50,100,-50,0,50,33.3,33.3,101.95,20,,
S. Curry | D. Green | G. Payton II | J. Kuminga | M. Moody,1,2,150,100,50,100,25,75,75,100.47,77.8,,
S. Curry | J. Butler III | B. Hield | M. Moody | Q. Post,2,2,0,80,-80,0,12.5,0,0,137.93,-70,,
S. Curry | J. Butler III | D. Green | B. Hield | J. Kuminga,3,2,133.3,133.3,0,0,40,50,45,104.52,5,,
S. Curry | J. Butler III | D. Green | G. Payton II | G. Santos,1,2,140,200,-60,100,50,75,93.1,159.36,32.4,,
S. Curry | J. Butler III | D. Green | G. Santos | Q. Post,2,2,66.7,166.7,-100,0,100,0,42,86.63,-33.3,,
S. Curry | J. Butler III | D. Green | K. Looney | B. Podziemski,1,2,33.3,50,-16.7,0,25,0,12.9,105.55,-100,,
S. Curry | J. Butler III | G. Payton II | G. Santos | Q. Post,1,2,180,125,55,66.7,50,87.5,92.2,110.77,77.8,,
S. Curry | K. Looney | B. Hield | G. Payton II | K. Knox II,1,2,125,125,0,0,20,50,50,97.63,37.5,,
S. Curry | K. Looney | G. Payton II | P. Spencer | M. Moody,2,2,50,133.3,-83.3,100,42.9,20,20,123.5,4.8,,
B. Hield | J. Kuminga | G. Santos | T. Jackson|Davis | B. Podziemski,1,1,50,100,-50,0,0,0,26.6,144,133.3,,
B. Hield | K. Knox II | P. Spencer | B. Podziemski | Q. Post,1,1,0,250,-250,0,0,0,0,83.08,-40,,
D. Green | B. Hield | G. Payton II | J. Kuminga | G. Santos,1,1,0,50,-50,0,50,0,0,164.57,100,,
D. Green | B. Hield | G. Payton II | J. Kuminga | Q. Post,1,1,0,150,-150,0,0,0,0,170.41,-50,,
D. Green | K. Knox II | P. Spencer | M. Moody | Q. Post,1,1,0,100,-100,0,25,0,0,99.31,-300,,
D. Green | M. Moody | G. Santos | B. Podziemski | Q. Post,1,1,200,300,-100,0,0,0,113.6,75.79,40,,
J. Butler III | B. Hield | M. Moody | B. Podziemski | Q. Post,2,1,50,0,50,100,50,50,50,163.95,133.3,,
J. Butler III | D. Green | B. Hield | G. Payton II | J. Kuminga,1,1,0,300,-300,0,0,0,0,64.57,-33.3,,
J. Butler III | D. Green | B. Hield | G. Payton II | M. Moody,1,1,100,66.7,33.3,100,0,75,75,144,100,,
J. Butler III | D. Green | B. Hield | G. Santos | B. Podziemski,1,1,100,0,100,0,0,0,53.2,83.08,0,,
J. Butler III | D. Green | B. Hield | M. Moody | B. Podziemski,3,1,80,133.3,-53.3,0,40,0,42,148.65,50,,
J. Butler III | K. Looney | M. Moody | G. Santos | B. Podziemski,1,1,0,100,-100,0,50,0,0,124.44,-80,,
K. Looney | J. Kuminga | M. Moody | G. Santos | B. Podziemski,1,1,0,150,-150,0,0,0,0,117.55,-150,,
K. Looney | K. Knox II | P. Spencer | G. Santos | Q. Post,1,1,200,0,200,0,100,0,53.2,91.14,-300,,
S. Curry | B. Hield | J. Kuminga | G. Santos | T. Jackson|Davis,1,1,133.3,50,83.3,50,50,66.7,66.7,138.08,83.3,,
S. Curry | D. Green | B. Hield | G. Payton II | J. Kuminga,1,1,100,66.7,33.3,100,75,50,50,102.86,61.5,,
S. Curry | D. Green | J. Kuminga | B. Podziemski | Q. Post,1,1,150,100,50,100,50,50,61.5,128,75,,
